crop_path,source,source_ref,instance_id,view_idx,faction,unit_slug,suggested_by,confidence,labeller,split,created_at,notes
scripts/phase1/crops/chaos_space_marines/105043_7b3757a33ae3__04.jpg,annotation,,,,chaos_space_marines,chaos_bikers,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__00.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,the miniature shows a nurgelite space marine showing green fettid colours on theyre armor and oozing green and gold
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__03.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__04.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/109058_501520a7d389__00.jpg,annotation,,,,chaos_space_marines,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/115364_cda7c2858d31__00.jpg,annotation,,,,chaos_space_marines,chaos_lord,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/128051_78e6a553755f__00.jpg,annotation,,,,chaos_space_marines,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/13164_2ebfe221cced__00.jpg,annotation,,,,thousand_sons,rubric_marines,annotation,,,gallery,2026-04-16T22:29:40Z,shows the back of a horned thousand sons space marine
scripts/phase1/crops/chaos_space_marines/13164_2ebfe221cced__01.jpg,annotation,,,,thousand_sons,rubric_marines,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__00.jpg,annotation,,,,chaos_space_marines,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__01.jpg,annotation,,,,chaos_space_marines,legionaries,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__03.jpg,annotation,,,,chaos_space_marines,legionaries,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/154467_2a7cbda60946__00.jpg,annotation,,,,chaos_space_marines,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/154467_2a7cbda60946__01.jpg,annotation,,,,chaos_space_marines,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/154467_2a7cbda60946__03.jpg,annotation,,,,chaos_space_marines,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__00.jpg,annotation,,,,death_guard,plague_marines,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__01.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__02.jpg,annotation,,,,death_guard,lord_of_contagion,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__04.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__05.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__06.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/1080694_5ad20ee11d4f__00.jpg,annotation,,,,death_guard,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/118217_1088ebbee691__00.jpg,annotation,,,,death_guard,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/11901_e49f8143ff79__00.jpg,annotation,,,,death_guard,deathshroud_terminators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/155609_1bc3a643dc75__00.jpg,annotation,,,,death_guard,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/1061044_3995318f2400__02.jpg,annotation,,,,genestealer_cult,aberrants,annotation,,,query,2026-04-16T22:29:40Z,
