crop_path,faction,unit_slug,notes,split
scripts/phase1/crops/chaos_space_marines/105043_7b3757a33ae3__04.jpg,chaos_space_marines,chaos_bikers,,gallery
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__00.jpg,death_guard,plague_marines,the miniature shows a nurgelite space marine showing green fettid colours on theyre armor and oozing green and gold,gallery
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__03.jpg,death_guard,plague_marines,,gallery
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__04.jpg,death_guard,plague_marines,,gallery
scripts/phase1/crops/chaos_space_marines/109058_501520a7d389__00.jpg,chaos_space_marines,,,
scripts/phase1/crops/chaos_space_marines/115364_cda7c2858d31__00.jpg,chaos_space_marines,chaos_lord,,gallery
scripts/phase1/crops/chaos_space_marines/128051_78e6a553755f__00.jpg,chaos_space_marines,,,
scripts/phase1/crops/chaos_space_marines/13164_2ebfe221cced__00.jpg,thousand_sons,rubric_marines,shows the back of a horned thousand sons space marine,gallery
scripts/phase1/crops/chaos_space_marines/13164_2ebfe221cced__01.jpg,thousand_sons,rubric_marines,,query
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__00.jpg,chaos_space_marines,,,
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__01.jpg,chaos_space_marines,legionaries,,gallery
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__03.jpg,chaos_space_marines,legionaries,,query
scripts/phase1/crops/chaos_space_marines/154467_2a7cbda60946__00.jpg,chaos_space_marines,,,
scripts/phase1/crops/chaos_space_marines/154467_2a7cbda60946__01.jpg,chaos_space_marines,,,
scripts/phase1/crops/chaos_space_marines/154467_2a7cbda60946__03.jpg,chaos_space_marines,,,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__00.jpg,death_guard,plague_marines,,query
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__01.jpg,death_guard,plague_marines,,gallery
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__02.jpg,death_guard,lord_of_contagion,,gallery
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__04.jpg,death_guard,plague_marines,,gallery
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__05.jpg,death_guard,plague_marines,,gallery
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__06.jpg,death_guard,plague_marines,,gallery
scripts/phase1/crops/death_guard/1080694_5ad20ee11d4f__00.jpg,death_guard,,,
scripts/phase1/crops/death_guard/118217_1088ebbee691__00.jpg,death_guard,,,
scripts/phase1/crops/death_guard/11901_e49f8143ff79__00.jpg,death_guard,deathshroud_terminators,,gallery
scripts/phase1/crops/death_guard/155609_1bc3a643dc75__00.jpg,death_guard,,,
scripts/phase1/crops/genestealer_cult/1061044_3995318f2400__02.jpg,genestealer_cult,aberrants,,query
scripts/phase1/crops/genestealer_cult/1061044_3995318f2400__03.jpg,genestealer_cult,aberrants,,gallery
scripts/phase1/crops/genestealer_cult/1078352_4e1218608d52__00.jpg,genestealer_cult,achilles_ridgerunner,,gallery
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__01.jpg,genestealer_cult,neophyte_hybrids,,gallery
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__03.jpg,genestealer_cult,neophyte_hybrids,,query
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__04.jpg,genestealer_cult,neophyte_hybrids,,gallery
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__18.jpg,genestealer_cult,genestealers,,gallery
scripts/phase1/crops/genestealer_cult/109528_e6d3b5be9657__00.jpg,genestealer_cult,,,
scripts/phase1/crops/space_marines/10j4au8_a534218bca89__00.jpg,space_marines,captain,,gallery
scripts/phase1/crops/space_marines/13i43sd_3afc80ca3e19__00.jpg,space_marines,sanguinary_guard,,gallery
scripts/phase1/crops/tyranids/122lero_82096eaba983__02.jpg,tyranids,genestealers,,gallery
scripts/phase1/crops/tyranids/122lero_82096eaba983__19.jpg,tyranids,tyranid_warriors,,gallery
scripts/phase1/crops/tyranids/122lero_82096eaba983__34.jpg,tyranids,termagants,,gallery
scripts/phase1/crops/tyranids/122lero_82096eaba983__57.jpg,tyranids,ripper_swarms,,gallery
scripts/phase1/crops/tyranids/14kujha_a92f261b1099__14.jpg,tyranids,termagants,,query
