crop_path,source,source_ref,instance_id,view_idx,faction,unit_slug,suggested_by,confidence,labeller,split,created_at,notes
scripts/phase1/crops/chaos_space_marines/105043_7b3757a33ae3__04.jpg,annotation,,,,chaos_space_marines,chaos_bikers,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__00.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,the miniature shows a nurgelite space marine showing green fettid colours on theyre armor and oozing green and gold
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__03.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/106635_b7a1d8b0d592__04.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/115364_cda7c2858d31__00.jpg,annotation,,,,chaos_space_marines,chaos_lord,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/13164_2ebfe221cced__00.jpg,annotation,,,,chaos_space_marines,rubric_marines,annotation,,,gallery,2026-04-16T22:29:40Z,shows the back of a horned thousand sons space marine
scripts/phase1/crops/chaos_space_marines/13164_2ebfe221cced__01.jpg,annotation,,,,chaos_space_marines,rubric_marines,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__01.jpg,annotation,,,,chaos_space_marines,legionaries,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/chaos_space_marines/138245_351bd85403f3__03.jpg,annotation,,,,chaos_space_marines,legionaries,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__00.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__01.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__02.jpg,annotation,,,,chaos_space_marines,lord_of_contagion,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__04.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__05.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/106798_0c58414bb9eb__06.jpg,annotation,,,,chaos_space_marines,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/death_guard/11901_e49f8143ff79__00.jpg,annotation,,,,chaos_space_marines,deathshroud_terminators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/1061044_3995318f2400__02.jpg,annotation,,,,genestealer_cults,aberrants,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/1061044_3995318f2400__03.jpg,annotation,,,,genestealer_cults,aberrants,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/1078352_4e1218608d52__00.jpg,annotation,,,,genestealer_cults,achilles_ridgerunner,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__01.jpg,annotation,,,,genestealer_cults,neophyte_hybrids,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__03.jpg,annotation,,,,genestealer_cults,neophyte_hybrids,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__04.jpg,annotation,,,,genestealer_cults,neophyte_hybrids,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__18.jpg,annotation,,,,genestealer_cults,genestealers,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/space_marines/10j4au8_a534218bca89__00.jpg,annotation,,,,space_marines,captain,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/space_marines/13i43sd_3afc80ca3e19__00.jpg,annotation,,,,space_marines,sanguinary_guard,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__02.jpg,annotation,,,,tyranids,genestealers,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__19.jpg,annotation,,,,tyranids,tyranid_warriors,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__34.jpg,annotation,,,,tyranids,termagants,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__57.jpg,annotation,,,,tyranids,ripper_swarms,annotation,,,gallery,2026-04-16T22:29:40Z,
